timestamp,ip,username,password,user_agent,activity,activity_code
2025-03-23 14:08:26,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: knkjnkjnkj,9
2025-03-23 14:08:47,Invalid IP,sofia,sofia123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Successful login,13
2025-03-23 14:08:59,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: hello sofia here,7
2025-03-24 08:43:19,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: latest comment,10
2025-03-24 08:56:42,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: lmlk,11
2025-03-24 09:24:18,Invalid IP,admin,admin123\',"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Unsuccessful login - Invalid password,15
2025-03-24 09:24:34,Invalid IP,admin,admin123,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Successful login,13
2025-03-24 09:24:55,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: ahmm ahmm,6
2025-03-24 12:06:59,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: webdjebfkjrehfb,12
2025-03-24 12:11:10,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: <script>alert('XSS Attack');</script>,0
2025-03-24 12:12:24,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: <script>alert('XSS Attack');</script>,0
2025-03-24 12:19:34,Invalid IP,Anonymous, ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Comment submitted: jhjhbhjbhj,8
